"mandante","visitante","vencedor","mandante_Placar","visitante_Placar","vencedor_Estado"
"Goias","Vitoria","Empate","0","0",""
"Corinthians","Cruzeiro","Corinthians","1","0","SP"
"Atletico-MG","Fluminense","Atletico-MG","2","0","MG"
"Athletico-PR","Sao Paulo","Empate","2","2",""
"Flamengo","Figueirense","Empate","1","1",""
"Bahia","Santos","Santos","0","2","SP"
"Coritiba","Goias","Coritiba","3","0","PR"
"Sao Paulo","Atletico-MG","Sao Paulo","2","1","SP"
"Vitoria","Sport","Sport","0","1","PE"
"Gremio","Palmeiras","Empate","0","0",""
"Chapecoense","Bahia","Chapecoense","2","1","SC"
"Cruzeiro","Flamengo","Cruzeiro","3","0","MG"
"Santos","Criciuma","Santos","2","0","SP"
"Fluminense","Internacional","Empate","1","1",""
"Figueirense","Athletico-PR","Athletico-PR","1","3","PR"
"Corinthians","Botafogo-RJ","Empate","1","1",""
"Sport","Bahia","Sport","1","0","PE"
"Gremio","Goias","Empate","0","0",""
"Sport","Botafogo-RJ","Sport","1","0","PE"
"Coritiba","Figueirense","Figueirense","0","2","SC"
"Flamengo","Athletico-PR","Athletico-PR","1","2","PR"
"Bahia","Sao Paulo","Sao Paulo","0","2","SP"
"Criciuma","Fluminense","Criciuma","3","2","SC"
"Santos","Palmeiras","Santos","2","0","SP"
"Corinthians","Internacional","Corinthians","2","1","SP"
"Cruzeiro","Vitoria","Cruzeiro","3","1","MG"
"Sao Paulo","Chapecoense","Chapecoense","0","1","SC"
"Figueirense","Gremio","Gremio","0","1","RS"
"Atletico-MG","Bahia","Empate","1","1",""
"Botafogo-RJ","Coritiba","Botafogo-RJ","1","0","RJ"
"Palmeiras","Cruzeiro","Cruzeiro","1","2","MG"
"Internacional","Flamengo","Internacional","4","0","RS"
"Vitoria","Corinthians","Empate","0","0",""
"Athletico-PR","Criciuma","Athletico-PR","2","0","PR"
"Goias","Sport","Empate","0","0",""
"Fluminense","Santos","Fluminense","1","0","RJ"
"Cruzeiro","Figueirense","Cruzeiro","5","0","MG"
"Santos","Chapecoense","Santos","3","0","SP"
"Criciuma","Vitoria","Vitoria","1","3","BA"
"Bahia","Internacional","Internacional","0","1","RS"
"Sport","Atletico-MG","Sport","2","1","PE"
"Goias","Sao Paulo","Goias","2","1","GO"
"Corinthians","Palmeiras","Corinthians","2","0","SP"
"Athletico-PR","Fluminense","Fluminense","0","3","RJ"
"Gremio","Coritiba","Coritiba","2","3","PR"
"Flamengo","Botafogo-RJ","Flamengo","1","0","RJ"
"Botafogo-RJ","Cruzeiro","Empate","1","1",""
"Sao Paulo","Criciuma","Empate","1","1",""
"Vitoria","Gremio","Vitoria","2","1","BA"
"Palmeiras","Bahia","Empate","1","1",""
"Chapecoense","Flamengo","Chapecoense","1","0","SC"
"Figueirense","Sport","Figueirense","3","0","SC"
"Coritiba","Corinthians","Empate","0","0",""
"Fluminense","Goias","Fluminense","2","0","RJ"
"Internacional","Santos","Internacional","1","0","RS"
"Atletico-MG","Athletico-PR","Atletico-MG","3","1","MG"
"Chapecoense","Atletico-MG","Empate","1","1",""
"Criciuma","Cruzeiro","Empate","0","0",""
"Bahia","Goias","Bahia","1","0","BA"
"Fluminense","Coritiba","Empate","1","1",""
"Flamengo","Sport","Flamengo","1","0","RJ"
"Athletico-PR","Botafogo-RJ","Athletico-PR","2","0","PR"
"Santos","Corinthians","Corinthians","0","1","SP"
"Internacional","Gremio","Internacional","2","0","RS"
"Atletico-MG","Palmeiras","Atletico-MG","2","1","MG"
"Chapecoense","Figueirense","Figueirense","0","1","SC"
"Sao Paulo","Vitoria","Sao Paulo","3","1","SP"
"Goias","Internacional","Internacional","0","1","RS"
"Corinthians","Bahia","Empate","1","1",""
"Gremio","Criciuma","Gremio","2","0","RS"
"Coritiba","Flamengo","Flamengo","0","1","RJ"
"Cruzeiro","Santos","Cruzeiro","3","0","MG"
"Palmeiras","Sao Paulo","Sao Paulo","1","2","SP"
"Vitoria","Chapecoense","Empate","0","0",""
"Botafogo-RJ","Fluminense","Botafogo-RJ","2","0","RJ"
"Figueirense","Atletico-MG","Empate","2","2",""
"Sport","Athletico-PR","Empate","1","1",""
"Sport","Palmeiras","Sport","2","1","PE"
"Figueirense","Botafogo-RJ","Figueirense","1","0","SC"
"Santos","Athletico-PR","Santos","2","0","SP"
"Coritiba","Vitoria","Coritiba","2","0","PR"
"Bahia","Criciuma","Empate","0","0",""
"Chapecoense","Fluminense","Chapecoense","1","0","SC"
"Flamengo","Atletico-MG","Flamengo","2","1","RJ"
"Internacional","Sao Paulo","Sao Paulo","0","1","SP"
"Corinthians","Goias","Corinthians","5","2","SP"
"Cruzeiro","Gremio","Cruzeiro","1","0","MG"
"Atletico-MG","Internacional","Atletico-MG","1","0","MG"
"Botafogo-RJ","Chapecoense","Botafogo-RJ","1","0","RJ"
"Palmeiras","Coritiba","Palmeiras","1","0","SP"
"Gremio","Corinthians","Gremio","2","1","RS"
"Criciuma","Flamengo","Flamengo","0","2","RJ"
"Vitoria","Figueirense","Figueirense","0","1","SC"
"Sao Paulo","Santos","Sao Paulo","2","1","SP"
"Fluminense","Sport","Fluminense","4","0","RJ"
"Athletico-PR","Bahia","Empate","0","0",""
"Goias","Cruzeiro","Cruzeiro","0","1","MG"
"Cruzeiro","Chapecoense","Cruzeiro","4","2","MG"
"Palmeiras","Internacional","Internacional","0","1","RS"
"Sport","Criciuma","Sport","2","0","PE"
"Coritiba","Atletico-MG","Empate","0","0",""
"Botafogo-RJ","Santos","Botafogo-RJ","1","0","RJ"
"Corinthians","Fluminense","Empate","1","1",""
"Figueirense","Sao Paulo","Empate","1","1",""
"Gremio","Bahia","Gremio","1","0","RS"
"Goias","Athletico-PR","Goias","3","1","GO"
"Vitoria","Flamengo","Flamengo","1","2","RJ"
"Flamengo","Gremio","Gremio","0","1","RS"
"Santos","Vitoria","Santos","3","1","SP"
"Chapecoense","Goias","Empate","0","0",""
"Criciuma","Corinthians","Empate","0","0",""
"Atletico-MG","Botafogo-RJ","Atletico-MG","1","0","MG"
"Sao Paulo","Sport","Sao Paulo","2","0","SP"
"Fluminense","Cruzeiro","Empate","3","3",""
"Bahia","Coritiba","Empate","0","0",""
"Athletico-PR","Palmeiras","Empate","1","1",""
"Internacional","Figueirense","Figueirense","2","3","SC"
"Gremio","Athletico-PR","Gremio","1","0","RS"
"Palmeiras","Criciuma","Palmeiras","1","0","SP"
"Figueirense","Fluminense","Empate","1","1",""
"Sport","Santos","Sport","3","1","PE"
"Coritiba","Chapecoense","Coritiba","3","0","PR"
"Goias","Flamengo","Goias","1","0","GO"
"Botafogo-RJ","Sao Paulo","Sao Paulo","2","4","SP"
"Vitoria","Internacional","Vitoria","2","0","BA"
"Corinthians","Atletico-MG","Corinthians","1","0","SP"
"Cruzeiro","Bahia","Cruzeiro","2","1","MG"
"Fluminense","Palmeiras","Fluminense","3","0","RJ"
"Chapecoense","Sport","Chapecoense","3","1","SC"
"Santos","Coritiba","Santos","2","1","SP"
"Bahia","Figueirense","Bahia","3","0","BA"
"Flamengo","Corinthians","Flamengo","1","0","RJ"
"Internacional","Botafogo-RJ","Internacional","2","0","RS"
"Sao Paulo","Cruzeiro","Sao Paulo","2","0","SP"
"Athletico-PR","Vitoria","Athletico-PR","2","0","PR"
"Atletico-MG","Gremio","Empate","0","0",""
"Criciuma","Goias","Criciuma","1","0","SC"
"Vitoria","Fluminense","Vitoria","3","1","BA"
"Cruzeiro","Athletico-PR","Cruzeiro","2","0","MG"
"Sport","Internacional","Empate","0","0",""
"Figueirense","Criciuma","Empate","1","1",""
"Botafogo-RJ","Bahia","Bahia","2","3","BA"
"Coritiba","Sao Paulo","Coritiba","3","1","PR"
"Palmeiras","Flamengo","Empate","2","2",""
"Corinthians","Chapecoense","Empate","1","1",""
"Goias","Atletico-MG","Atletico-MG","2","3","MG"
"Gremio","Santos","Empate","0","0",""
"Athletico-PR","Internacional","Internacional","0","1","RS"
"Criciuma","Botafogo-RJ","Empate","1","1",""
"Cruzeiro","Atletico-MG","Atletico-MG","2","3","MG"
"Vitoria","Bahia","Vitoria","2","1","BA"
"Flamengo","Fluminense","Empate","1","1",""
"Corinthians","Sao Paulo","Corinthians","3","2","SP"
"Sport","Coritiba","Sport","1","0","PE"
"Goias","Palmeiras","Goias","6","0","GO"
"Gremio","Chapecoense","Gremio","1","0","RS"
"Santos","Figueirense","Santos","3","1","SP"
"Internacional","Criciuma","Internacional","3","0","RS"
"Coritiba","Cruzeiro","Cruzeiro","1","2","MG"
"Chapecoense","Athletico-PR","Chapecoense","3","0","SC"
"Bahia","Sport","Bahia","1","0","BA"
"Figueirense","Corinthians","Figueirense","1","0","SC"
"Fluminense","Gremio","Empate","0","0",""
"Sao Paulo","Flamengo","Empate","2","2",""
"Botafogo-RJ","Goias","Botafogo-RJ","1","0","RJ"
"Palmeiras","Vitoria","Palmeiras","2","0","SP"
"Atletico-MG","Santos","Atletico-MG","3","2","MG"
"Sport","Cruzeiro","Empate","0","0",""
"Chapecoense","Criciuma","Empate","1","1",""
"Sao Paulo","Fluminense","Fluminense","1","3","RJ"
"Botafogo-RJ","Gremio","Gremio","0","2","RS"
"Bahia","Flamengo","Bahia","2","1","BA"
"Athletico-PR","Corinthians","Athletico-PR","1","0","PR"
"Atletico-MG","Vitoria","Atletico-MG","2","0","MG"
"Santos","Goias","Santos","2","0","SP"
"Figueirense","Palmeiras","Figueirense","3","1","SC"
"Internacional","Coritiba","Internacional","4","2","RS"
"Palmeiras","Chapecoense","Palmeiras","4","2","SP"
"Flamengo","Santos","Santos","0","1","SP"
"Vitoria","Botafogo-RJ","Vitoria","2","1","BA"
"Fluminense","Bahia","Empate","1","1",""
"Gremio","Sao Paulo","Sao Paulo","0","1","SP"
"Coritiba","Athletico-PR","Coritiba","1","0","PR"
"Criciuma","Atletico-MG","Criciuma","3","1","SC"
"Corinthians","Sport","Corinthians","3","0","SP"
"Cruzeiro","Internacional","Cruzeiro","2","1","MG"
"Goias","Figueirense","Goias","1","0","GO"
"Sao Paulo","Athletico-PR","Sao Paulo","1","0","SP"
"Botafogo-RJ","Palmeiras","Palmeiras","0","1","SP"
"Coritiba","Criciuma","Coritiba","1","0","PR"
"Vitoria","Goias","Empate","2","2",""
"Gremio","Sport","Gremio","2","0","RS"
"Cruzeiro","Corinthians","Corinthians","0","1","SP"
"Figueirense","Flamengo","Flamengo","1","2","RJ"
"Fluminense","Atletico-MG","Empate","0","0",""
"Santos","Bahia","Santos","1","0","SP"
"Chapecoense","Internacional","Chapecoense","5","0","SC"
"Botafogo-RJ","Corinthians","Botafogo-RJ","1","0","RJ"
"Goias","Coritiba","Goias","3","0","GO"
"Palmeiras","Gremio","Palmeiras","2","1","SP"
"Flamengo","Cruzeiro","Flamengo","3","0","RJ"
"Bahia","Chapecoense","Chapecoense","0","1","SC"
"Internacional","Fluminense","Internacional","2","1","RS"
"Atletico-MG","Sao Paulo","Atletico-MG","1","0","MG"
"Athletico-PR","Figueirense","Athletico-PR","3","0","PR"
"Criciuma","Santos","Criciuma","3","0","SC"
"Sport","Vitoria","Vitoria","1","2","BA"
"Goias","Gremio","Empate","0","0",""
"Sao Paulo","Bahia","Sao Paulo","2","1","SP"
"Fluminense","Criciuma","Fluminense","4","2","RJ"
"Atletico-MG","Chapecoense","Atletico-MG","1","0","MG"
"Athletico-PR","Flamengo","Athletico-PR","2","1","PR"
"Figueirense","Coritiba","Figueirense","4","0","SC"
"Internacional","Corinthians","Corinthians","1","2","SP"
"Palmeiras","Santos","Santos","1","3","SP"
"Botafogo-RJ","Sport","Empate","1","1",""
"Vitoria","Cruzeiro","Cruzeiro","0","1","MG"
"Bahia","Atletico-MG","Empate","1","1",""
"Cruzeiro","Palmeiras","Empate","1","1",""
"Corinthians","Vitoria","Corinthians","2","1","SP"
"Flamengo","Internacional","Flamengo","2","0","RJ"
"Criciuma","Athletico-PR","Athletico-PR","0","1","PR"
"Gremio","Figueirense","Gremio","1","0","RS"
"Coritiba","Botafogo-RJ","Coritiba","2","0","PR"
"Santos","Fluminense","Fluminense","0","1","RJ"
"Chapecoense","Sao Paulo","Empate","0","0",""
"Sport","Goias","Goias","0","1","GO"
"Figueirense","Cruzeiro","Empate","1","1",""
"Fluminense","Athletico-PR","Fluminense","2","1","RJ"
"Palmeiras","Corinthians","Empate","1","1",""
"Vitoria","Criciuma","Vitoria","3","1","BA"
"Atletico-MG","Sport","Atletico-MG","3","2","MG"
"Chapecoense","Santos","Empate","1","1",""
"Coritiba","Gremio","Empate","1","1",""
"Internacional","Bahia","Internacional","2","0","RS"
"Botafogo-RJ","Flamengo","Botafogo-RJ","2","1","RJ"
"Sao Paulo","Goias","Sao Paulo","3","0","SP"
"Gremio","Vitoria","Gremio","1","0","RS"
"Goias","Fluminense","Fluminense","0","2","RJ"
"Corinthians","Coritiba","Empate","2","2",""
"Santos","Internacional","Internacional","1","2","RS"
"Sport","Figueirense","Sport","1","0","PE"
"Cruzeiro","Botafogo-RJ","Cruzeiro","2","1","MG"
"Criciuma","Sao Paulo","Sao Paulo","1","2","SP"
"Flamengo","Chapecoense","Flamengo","3","0","RJ"
"Athletico-PR","Atletico-MG","Athletico-PR","1","0","PR"
"Bahia","Palmeiras","Palmeiras","0","1","SP"
"Coritiba","Fluminense","Coritiba","1","0","PR"
"Palmeiras","Atletico-MG","Atletico-MG","0","2","MG"
"Botafogo-RJ","Athletico-PR","Athletico-PR","0","2","PR"
"Sport","Flamengo","Empate","2","2",""
"Vitoria","Sao Paulo","Sao Paulo","1","2","SP"
"Figueirense","Chapecoense","Figueirense","1","0","SC"
"Gremio","Internacional","Gremio","4","1","RS"
"Cruzeiro","Criciuma","Cruzeiro","3","1","MG"
"Goias","Bahia","Goias","3","0","GO"
"Corinthians","Santos","Corinthians","1","0","SP"
"Sao Paulo","Internacional","Empate","1","1",""
"Criciuma","Gremio","Gremio","0","3","RS"
"Fluminense","Botafogo-RJ","Fluminense","1","0","RJ"
"Athletico-PR","Sport","Sport","0","1","PE"
"Flamengo","Coritiba","Flamengo","3","2","RJ"
"Internacional","Goias","Internacional","1","0","RS"
"Santos","Cruzeiro","Cruzeiro","0","1","MG"
"Bahia","Corinthians","Corinthians","1","2","SP"
"Atletico-MG","Figueirense","Empate","1","1",""
"Chapecoense","Vitoria","Vitoria","0","1","BA"
"Sao Paulo","Palmeiras","Sao Paulo","2","0","SP"
"Athletico-PR","Santos","Empate","1","1",""
"Botafogo-RJ","Figueirense","Figueirense","0","1","SC"
"Goias","Corinthians","Corinthians","0","1","SP"
"Vitoria","Coritiba","Empate","1","1",""
"Criciuma","Bahia","Bahia","0","1","BA"
"Atletico-MG","Flamengo","Atletico-MG","4","0","MG"
"Palmeiras","Sport","Sport","0","2","PE"
"Fluminense","Chapecoense","Chapecoense","1","4","SC"
"Gremio","Cruzeiro","Cruzeiro","1","2","MG"
"Internacional","Atletico-MG","Internacional","2","1","RS"
"Bahia","Athletico-PR","Athletico-PR","1","2","PR"
"Flamengo","Criciuma","Empate","1","1",""
"Santos","Sao Paulo","Sao Paulo","0","1","SP"
"Sport","Fluminense","Empate","2","2",""
"Cruzeiro","Goias","Cruzeiro","2","1","MG"
"Figueirense","Vitoria","Figueirense","2","0","SC"
"Chapecoense","Botafogo-RJ","Chapecoense","2","0","SC"
"Corinthians","Gremio","Corinthians","1","0","SP"
"Coritiba","Palmeiras","Coritiba","2","0","PR"
"Criciuma","Sport","Empate","2","2",""
"Internacional","Palmeiras","Internacional","3","1","RS"
"Flamengo","Vitoria","Flamengo","4","0","RJ"
"Fluminense","Corinthians","Fluminense","5","2","RJ"
"Chapecoense","Cruzeiro","Empate","1","1",""
"Santos","Botafogo-RJ","Santos","2","0","SP"
"Sao Paulo","Figueirense","Empate","1","1",""
"Athletico-PR","Goias","Athletico-PR","1","0","PR"
"Atletico-MG","Coritiba","Coritiba","1","2","PR"
"Bahia","Gremio","Bahia","1","0","BA"
"Corinthians","Criciuma","Corinthians","2","1","SP"
"Figueirense","Internacional","Internacional","1","2","RS"
"Botafogo-RJ","Atletico-MG","Empate","0","0",""
"Gremio","Flamengo","Empate","1","1",""
"Goias","Chapecoense","Goias","4","2","GO"
"Vitoria","Santos","Santos","0","1","SP"
"Sport","Sao Paulo","Sport","1","0","PE"
"Coritiba","Bahia","Coritiba","3","2","PR"
"Palmeiras","Athletico-PR","Empate","1","1",""
"Cruzeiro","Fluminense","Cruzeiro","2","1","MG"
"Chapecoense","Coritiba","Chapecoense","2","1","SC"
"Palmeiras","Atletico-MG","Empate","2","2",""
"Fluminense","Joinville","Fluminense","1","0","RJ"
"Gremio","Ponte Preta","Empate","3","3",""
"Cruzeiro","Corinthians","Corinthians","0","1","SP"
"Sport","Figueirense","Sport","4","1","PE"
"Athletico-PR","Internacional","Athletico-PR","3","0","PR"
"Sao Paulo","Flamengo","Sao Paulo","2","1","SP"
"Vasco","Goias","Empate","0","0",""
"Avai","Santos","Empate","1","1",""
"Goias","Athletico-PR","Goias","2","0","GO"
"Coritiba","Gremio","Coritiba","2","0","PR"
"Corinthians","Chapecoense","Corinthians","1","0","SP"
"Figueirense","Vasco","Empate","0","0",""
"Atletico-MG","Fluminense","Atletico-MG","4","1","MG"
"Flamengo","Sport","Empate","2","2",""
"Santos","Cruzeiro","Santos","1","0","SP"
"Internacional","Avai","Internacional","1","0","RS"
"Joinville","Palmeiras","Empate","0","0",""
"Ponte Preta","Sao Paulo","Ponte Preta","1","0","SP"
"Vasco","Internacional","Empate","1","1",""
"Sao Paulo","Joinville","Sao Paulo","3","0","SP"
"Gremio","Figueirense","Gremio","1","0","RS"
"Palmeiras","Goias","Goias","0","1","GO"
"Chapecoense","Santos","Chapecoense","1","0","SC"
"Athletico-PR","Atletico-MG","Athletico-PR","1","0","PR"
"Fluminense","Corinthians","Empate","0","0",""
"Avai","Flamengo","Avai","2","1","SC"
"Cruzeiro","Ponte Preta","Empate","1","1",""
"Sport","Coritiba","Sport","1","0","PE"
"Ponte Preta","Chapecoense","Ponte Preta","3","1","SP"
"Coritiba","Avai","Avai","1","2","SC"
"Joinville","Athletico-PR","Athletico-PR","1","2","PR"
"Santos","Sport","Empate","2","2",""
"Atletico-MG","Vasco","Atletico-MG","3","0","MG"
"Goias","Gremio","Empate","1","1",""
"Internacional","Sao Paulo","Empate","0","0",""
"Corinthians","Palmeiras","Palmeiras","0","2","SP"
"Flamengo","Fluminense","Fluminense","2","3","RJ"
"Figueirense","Cruzeiro","Figueirense","2","1","SC"
"Athletico-PR","Figueirense","Athletico-PR","1","0","PR"
"Vasco","Ponte Preta","Ponte Preta","0","3","SP"
"Chapecoense","Joinville","Chapecoense","2","0","SC"
"Sao Paulo","Santos","Sao Paulo","3","2","SP"
"Gremio","Corinthians","Gremio","3","1","RS"
"Avai","Atletico-MG","Atletico-MG","1","4","MG"
"Cruzeiro","Flamengo","Cruzeiro","1","0","MG"
"Fluminense","Coritiba","Fluminense","2","0","RJ"
"Sport","Goias","Sport","1","0","PE"
"Palmeiras","Internacional","Empate","1","1",""
"Flamengo","Chapecoense","Flamengo","1","0","RJ"
"Atletico-MG","Cruzeiro","Cruzeiro","1","3","MG"
"Santos","Ponte Preta","Empate","2","2",""
"Joinville","Corinthians","Corinthians","0","1","SP"
"Athletico-PR","Vasco","Athletico-PR","2","0","PR"
"Sao Paulo","Gremio","Sao Paulo","2","0","SP"
"Internacional","Coritiba","Internacional","2","0","RS"
"Goias","Avai","Avai","0","1","SC"
"Fluminense","Sport","Empate","0","0",""
"Figueirense","Palmeiras","Figueirense","2","1","SC"
"Atletico-MG","Santos","Empate","2","2",""
"Corinthians","Internacional","Corinthians","2","1","SP"
"Chapecoense","Sao Paulo","Sao Paulo","0","1","SP"
"Coritiba","Flamengo","Flamengo","0","1","RJ"
"Sport","Joinville","Sport","2","1","PE"
"Vasco","Cruzeiro","Cruzeiro","1","3","MG"
"Ponte Preta","Goias","Empate","0","0",""
"Palmeiras","Fluminense","Palmeiras","2","1","SP"
"Avai","Figueirense","Empate","1","1",""
"Gremio","Athletico-PR","Gremio","2","1","RS"
"Figueirense","Internacional","Empate","0","0",""
"Sport","Vasco","Sport","2","1","PE"
"Flamengo","Atletico-MG","Atletico-MG","0","2","MG"
"Santos","Corinthians","Santos","1","0","SP"
"Gremio","Palmeiras","Gremio","1","0","RS"
"Cruzeiro","Chapecoense","Chapecoense","0","1","SC"
"Joinville","Goias","Joinville","2","1","SC"
"Sao Paulo","Avai","Empate","1","1",""
"Athletico-PR","Coritiba","Empate","2","2",""
"Fluminense","Ponte Preta","Fluminense","2","0","RJ"
"Avai","Gremio","Gremio","1","2","RS"
"Chapecoense","Sport","Empate","1","1",""
"Corinthians","Figueirense","Corinthians","2","1","SP"
"Atletico-MG","Joinville","Atletico-MG","1","0","MG"
"Palmeiras","Sao Paulo","Palmeiras","4","0","SP"
"Goias","Fluminense","Fluminense","1","2","RJ"
"Ponte Preta","Athletico-PR","Ponte Preta","2","1","SP"
"Coritiba","Cruzeiro","Coritiba","1","0","PR"
"Vasco","Flamengo","Vasco","1","0","RJ"
"Internacional","Santos","Internacional","1","0","RS"
"Sport","Internacional","Sport","3","0","PE"
"Vasco","Avai","Vasco","1","0","RJ"
"Palmeiras","Chapecoense","Palmeiras","2","0","SP"
"Atletico-MG","Coritiba","Atletico-MG","2","0","MG"
"Gremio","Cruzeiro","Gremio","1","0","RS"
"Joinville","Flamengo","Flamengo","0","1","RJ"
"Athletico-PR","Sao Paulo","Athletico-PR","2","1","PR"
"Figueirense","Goias","Figueirense","3","1","SC"
"Corinthians","Ponte Preta","Corinthians","2","0","SP"
"Fluminense","Santos","Fluminense","2","1","RJ"
"Coritiba","Joinville","Empate","0","0",""
"Cruzeiro","Athletico-PR","Cruzeiro","2","0","MG"
"Chapecoense","Vasco","Chapecoense","1","0","SC"
"Avai","Sport","Empate","2","2",""
"Goias","Corinthians","Empate","0","0",""
"Santos","Gremio","Gremio","1","3","RS"
"Sao Paulo","Fluminense","Empate","0","0",""
"Ponte Preta","Palmeiras","Palmeiras","0","2","SP"
"Flamengo","Figueirense","Figueirense","1","2","SC"
"Internacional","Atletico-MG","Atletico-MG","1","3","MG"
"Goias","Santos","Goias","4","1","GO"
"Chapecoense","Gremio","Chapecoense","1","0","SC"
"Coritiba","Ponte Preta","Empate","0","0",""
"Palmeiras","Avai","Palmeiras","3","0","SP"
"Figueirense","Joinville","Joinville","0","2","SC"
"Atletico-MG","Sport","Atletico-MG","2","1","MG"
"Internacional","Flamengo","Flamengo","1","2","RJ"
"Vasco","Sao Paulo","Sao Paulo","0","4","SP"
"Corinthians","Athletico-PR","Corinthians","2","0","SP"
"Fluminense","Cruzeiro","Fluminense","1","0","RJ"
"Santos","Figueirense","Santos","3","0","SP"
"Gremio","Vasco","Gremio","2","0","RS"
"Ponte Preta","Atletico-MG","Atletico-MG","0","2","MG"
"Sao Paulo","Coritiba","Sao Paulo","3","1","SP"
"Flamengo","Corinthians","Corinthians","0","3","SP"
"Joinville","Internacional","Internacional","0","2","RS"
"Athletico-PR","Fluminense","Fluminense","1","2","RJ"
"Cruzeiro","Goias","Cruzeiro","1","0","MG"
"Sport","Palmeiras","Empate","2","2",""
"Avai","Chapecoense","Avai","2","1","SC"
"Internacional","Goias","Internacional","2","1","RS"
"Flamengo","Gremio","Flamengo","1","0","RJ"
"Corinthians","Atletico-MG","Corinthians","1","0","SP"
"Athletico-PR","Chapecoense","Athletico-PR","1","0","PR"
"Figueirense","Coritiba","Empate","0","0",""
"Fluminense","Vasco","Vasco","1","2","RJ"
"Palmeiras","Santos","Palmeiras","1","0","SP"
"Sport","Sao Paulo","Sport","2","0","PE"
"Cruzeiro","Avai","Empate","1","1",""
"Joinville","Ponte Preta","Empate","1","1",""
"Avai","Athletico-PR","Athletico-PR","1","2","PR"
"Gremio","Sport","Empate","1","1",""
"Atletico-MG","Figueirense","Atletico-MG","1","0","MG"
"Santos","Joinville","Santos","2","0","SP"
"Chapecoense","Fluminense","Chapecoense","2","1","SC"
"Ponte Preta","Internacional","Empate","0","0",""
"Goias","Flamengo","Flamengo","0","1","RJ"
"Coritiba","Corinthians","Empate","1","1",""
"Sao Paulo","Cruzeiro","Sao Paulo","1","0","SP"
"Vasco","Palmeiras","Palmeiras","1","4","SP"
"Corinthians","Vasco","Corinthians","3","0","SP"
"Atletico-MG","Sao Paulo","Atletico-MG","3","1","MG"
"Fluminense","Gremio","Fluminense","1","0","RJ"
"Palmeiras","Athletico-PR","Athletico-PR","0","1","PR"
"Coritiba","Goias","Empate","1","1",""
"Joinville","Avai","Joinville","2","0","SC"
"Internacional","Chapecoense","Empate","0","0",""
"Figueirense","Ponte Preta","Figueirense","3","1","SC"
"Flamengo","Santos","Empate","2","2",""
"Sport","Cruzeiro","Empate","0","0",""
"Avai","Fluminense","Avai","1","0","SC"
"Santos","Coritiba","Santos","3","0","SP"
"Athletico-PR","Sport","Empate","1","1",""
"Vasco","Joinville","Empate","0","0",""
"Ponte Preta","Flamengo","Ponte Preta","1","0","SP"
"Cruzeiro","Palmeiras","Cruzeiro","2","1","MG"
"Goias","Atletico-MG","Empate","0","0",""
"Sao Paulo","Corinthians","Empate","1","1",""
"Gremio","Internacional","Gremio","5","0","RS"
"Chapecoense","Figueirense","Empate","2","2",""
"Flamengo","Athletico-PR","Flamengo","3","2","RJ"
"Coritiba","Palmeiras","Coritiba","2","1","PR"
"Santos","Vasco","Santos","1","0","SP"
"Goias","Chapecoense","Empate","0","0",""
"Figueirense","Sao Paulo","Sao Paulo","0","2","SP"
"Internacional","Fluminense","Internacional","1","0","RS"
"Corinthians","Sport","Corinthians","4","3","SP"
"Ponte Preta","Avai","Ponte Preta","2","0","SP"
"Atletico-MG","Gremio","Gremio","0","2","RS"
"Joinville","Cruzeiro","Joinville","3","0","SC"
"Vasco","Coritiba","Coritiba","0","1","PR"
"Athletico-PR","Santos","Empate","0","0",""
"Sao Paulo","Goias","Goias","0","3","GO"
"Palmeiras","Flamengo","Palmeiras","4","2","SP"
"Fluminense","Figueirense","Fluminense","2","1","RJ"
"Cruzeiro","Internacional","Empate","0","0",""
"Sport","Ponte Preta","Empate","1","1",""
"Avai","Corinthians","Corinthians","1","2","SP"
"Gremio","Joinville","Gremio","2","1","RS"
"Chapecoense","Atletico-MG","Chapecoense","2","1","SC"
"Goias","Vasco","Goias","3","0","GO"
"Santos","Avai","Santos","5","2","SP"
"Figueirense","Sport","Figueirense","2","1","SC"
"Coritiba","Chapecoense","Coritiba","1","0","PR"
"Ponte Preta","Gremio","Empate","0","0",""
"Joinville","Fluminense","Joinville","2","1","SC"
"Internacional","Athletico-PR","Internacional","2","0","RS"
"Corinthians","Cruzeiro","Corinthians","3","0","SP"
"Flamengo","Sao Paulo","Flamengo","2","1","RJ"
"Atletico-MG","Palmeiras","Atletico-MG","2","1","MG"
"Vasco","Figueirense","Figueirense","0","1","SC"
"Sao Paulo","Ponte Preta","Sao Paulo","3","0","SP"
"Gremio","Coritiba","Empate","0","0",""
"Avai","Internacional","Avai","3","0","SC"
"Palmeiras","Joinville","Palmeiras","3","2","SP"
"Fluminense","Atletico-MG","Atletico-MG","1","2","MG"
"Sport","Flamengo","Flamengo","0","1","RJ"
"Chapecoense","Corinthians","Corinthians","1","3","SP"
"Cruzeiro","Santos","Santos","0","1","SP"
"Athletico-PR","Goias","Athletico-PR","3","0","PR"
"Ponte Preta","Cruzeiro","Cruzeiro","1","2","MG"
"Internacional","Vasco","Internacional","6","0","RS"
"Joinville","Sao Paulo","Empate","0","0",""
"Atletico-MG","Athletico-PR","Athletico-PR","0","1","PR"
"Flamengo","Avai","Flamengo","3","0","RJ"
"Goias","Palmeiras","Goias","1","0","GO"
